HD Point of equivalence class 2,LD Point,Equivalence Class
"[0, 0, 0, 0, 0, 2]","[2, 0]",2
"[2, 0, 0, 0, 0, 0]","[0, 2]",2
"[1, 1, 0, 0, 0, 0]","[0.1, 1.9]",2
"[1, 0, 1, 0, 0, 0]","[0.2, 1.7999999999999998]",2
"[1, 0, 0, 1, 0, 0]","[0.30000000000000004, 1.6999999999999997]",2
"[1, 0, 0, 0, 1, 0]","[0.4, 1.5999999999999996]",2
"[1, 0, 0, 0, 0, 1]","[0.5, 1.4999999999999996]",2
"[0, 1, 1, 0, 0, 0]","[0.6, 1.3999999999999995]",2
"[0, 1, 0, 1, 0, 0]","[0.7, 1.2999999999999994]",2
"[0, 1, 0, 0, 1, 0]","[0.7999999999999999, 1.1999999999999993]",2
"[0, 1, 0, 0, 0, 1]","[0.8999999999999999, 1.0999999999999992]",2
"[0, 0, 1, 1, 0, 0]","[0.9999999999999999, 0.9999999999999992]",2
"[0, 0, 1, 0, 1, 0]","[1.0999999999999999, 0.8999999999999992]",2
"[0, 0, 1, 0, 0, 1]","[1.2, 0.7999999999999993]",2
"[0, 0, 0, 1, 1, 0]","[1.3, 0.6999999999999993]",2
"[0, 0, 0, 1, 0, 1]","[1.4000000000000001, 0.5999999999999993]",2
"[0, 0, 0, 0, 1, 1]","[1.5000000000000002, 0.49999999999999933]",2
"[0, 2, 0, 0, 0, 0]","[1.6000000000000003, 0.39999999999999936]",2
"[0, 0, 2, 0, 0, 0]","[1.7000000000000004, 0.2999999999999994]",2
"[0, 0, 0, 2, 0, 0]","[1.8000000000000005, 0.19999999999999937]",2
"[0, 0, 0, 0, 2, 0]","[1.9000000000000006, 0.09999999999999937]",2
