HD Point,LD Point,Equivalence Class
"[0, 0, 0, 0, 0, 3]","[3, 0]",3
"[3, 0, 0, 0, 0, 0]","[0, 3]",3
"[2, 1, 0, 0, 0, 0]","[0.054545454545454536, 2.9454545454545453]",3
"[2, 0, 1, 0, 0, 0]","[0.10909090909090907, 2.8909090909090907]",3
"[2, 0, 0, 1, 0, 0]","[0.1636363636363636, 2.836363636363636]",3
"[2, 0, 0, 0, 1, 0]","[0.21818181818181814, 2.7818181818181813]",3
"[2, 0, 0, 0, 0, 1]","[0.2727272727272727, 2.7272727272727266]",3
"[1, 1, 1, 0, 0, 0]","[0.32727272727272727, 2.672727272727272]",3
"[1, 1, 0, 1, 0, 0]","[0.38181818181818183, 2.6181818181818173]",3
"[1, 1, 0, 0, 1, 0]","[0.4363636363636364, 2.5636363636363626]",3
"[1, 1, 0, 0, 0, 1]","[0.49090909090909096, 2.509090909090908]",3
"[1, 0, 1, 1, 0, 0]","[0.5454545454545455, 2.4545454545454533]",3
"[1, 0, 1, 0, 1, 0]","[0.6000000000000001, 2.3999999999999986]",3
"[1, 0, 1, 0, 0, 1]","[0.6545454545454547, 2.345454545454544]",3
"[1, 0, 0, 1, 1, 0]","[0.7090909090909092, 2.2909090909090892]",3
"[1, 0, 0, 1, 0, 1]","[0.7636363636363638, 2.2363636363636346]",3
"[1, 0, 0, 0, 1, 1]","[0.8181818181818183, 2.18181818181818]",3
"[1, 2, 0, 0, 0, 0]","[0.8727272727272729, 2.127272727272725]",3
"[1, 0, 2, 0, 0, 0]","[0.9272727272727275, 2.0727272727272705]",3
"[1, 0, 0, 2, 0, 0]","[0.981818181818182, 2.018181818181816]",3
"[1, 0, 0, 0, 2, 0]","[1.0363636363636366, 1.9636363636363614]",3
"[1, 0, 0, 0, 0, 2]","[1.090909090909091, 1.909090909090907]",3
"[0, 1, 1, 1, 0, 0]","[1.1454545454545455, 1.8545454545454525]",3
"[0, 1, 1, 0, 1, 0]","[1.2, 1.799999999999998]",3
"[0, 1, 1, 0, 0, 1]","[1.2545454545454544, 1.7454545454545436]",3
"[0, 1, 0, 1, 1, 0]","[1.3090909090909089, 1.6909090909090891]",3
"[0, 1, 0, 1, 0, 1]","[1.3636363636363633, 1.6363636363636347]",3
"[0, 1, 0, 0, 1, 1]","[1.4181818181818178, 1.5818181818181802]",3
"[0, 0, 1, 1, 1, 0]","[1.4727272727272722, 1.5272727272727258]",3
"[0, 0, 1, 1, 0, 1]","[1.5272727272727267, 1.4727272727272713]",3
"[0, 0, 1, 0, 1, 1]","[1.5818181818181811, 1.4181818181818169]",3
"[0, 0, 0, 1, 1, 1]","[1.6363636363636356, 1.3636363636363624]",3
"[0, 1, 0, 0, 0, 2]","[1.69090909090909, 1.309090909090908]",3
"[0, 0, 1, 0, 0, 2]","[1.7454545454545445, 1.2545454545454535]",3
"[0, 0, 0, 1, 0, 2]","[1.799999999999999, 1.199999999999999]",3
"[0, 0, 0, 0, 1, 2]","[1.8545454545454534, 1.1454545454545446]",3
"[0, 2, 0, 0, 0, 1]","[1.9090909090909078, 1.0909090909090902]",3
"[0, 0, 2, 0, 0, 1]","[1.9636363636363623, 1.0363636363636357]",3
"[0, 0, 0, 2, 0, 1]","[2.0181818181818167, 0.9818181818181811]",3
"[0, 0, 0, 0, 2, 1]","[2.0727272727272714, 0.9272727272727266]",3
"[0, 2, 1, 0, 0, 0]","[2.127272727272726, 0.872727272727272]",3
"[0, 2, 0, 1, 0, 0]","[2.1818181818181808, 0.8181818181818175]",3
"[0, 2, 0, 0, 1, 0]","[2.2363636363636354, 0.7636363636363629]",3
"[0, 1, 2, 0, 0, 0]","[2.29090909090909, 0.7090909090909083]",3
"[0, 1, 0, 2, 0, 0]","[2.345454545454545, 0.6545454545454538]",3
"[0, 1, 0, 0, 2, 0]","[2.3999999999999995, 0.5999999999999992]",3
"[0, 0, 2, 1, 0, 0]","[2.454545454545454, 0.5454545454545446]",3
"[0, 0, 2, 0, 1, 0]","[2.509090909090909, 0.4909090909090901]",3
"[0, 0, 1, 2, 0, 0]","[2.5636363636363635, 0.4363636363636355]",3
"[0, 0, 1, 0, 2, 0]","[2.618181818181818, 0.38181818181818095]",3
"[0, 0, 0, 2, 1, 0]","[2.672727272727273, 0.3272727272727264]",3
"[0, 0, 0, 1, 2, 0]","[2.7272727272727275, 0.2727272727272718]",3
"[0, 3, 0, 0, 0, 0]","[2.781818181818182, 0.21818181818181728]",3
"[0, 0, 3, 0, 0, 0]","[2.836363636363637, 0.16363636363636275]",3
"[0, 0, 0, 3, 0, 0]","[2.8909090909090915, 0.10909090909090821]",3
"[0, 0, 0, 0, 3, 0]","[2.945454545454546, 0.054545454545453675]",3
