HD point,LD Point,Equivalence Class
"[0, 0, 0, 0, 0, 4]","[4, 0]",4
"[4, 0, 0, 0, 0, 0]","[0, 4]",4
"[3, 1, 0, 0, 0, 0]","[0.032, 3.968]",4
"[3, 0, 1, 0, 0, 0]","[0.064, 3.936]",4
"[3, 0, 0, 1, 0, 0]","[0.096, 3.904]",4
"[3, 0, 0, 0, 1, 0]","[0.128, 3.872]",4
"[3, 0, 0, 0, 0, 1]","[0.16, 3.84]",4
"[2, 1, 1, 0, 0, 0]","[0.192, 3.808]",4
"[2, 1, 0, 1, 0, 0]","[0.224, 3.776]",4
"[2, 1, 0, 0, 1, 0]","[0.256, 3.7439999999999998]",4
"[2, 1, 0, 0, 0, 1]","[0.28800000000000003, 3.7119999999999997]",4
"[2, 0, 1, 1, 0, 0]","[0.32000000000000006, 3.6799999999999997]",4
"[2, 0, 1, 0, 1, 0]","[0.3520000000000001, 3.6479999999999997]",4
"[2, 0, 1, 0, 0, 1]","[0.3840000000000001, 3.6159999999999997]",4
"[2, 0, 0, 1, 1, 0]","[0.41600000000000015, 3.5839999999999996]",4
"[2, 0, 0, 1, 0, 1]","[0.4480000000000002, 3.5519999999999996]",4
"[2, 0, 0, 0, 1, 1]","[0.4800000000000002, 3.5199999999999996]",4
"[2, 2, 0, 0, 0, 0]","[0.5120000000000002, 3.4879999999999995]",4
"[2, 0, 2, 0, 0, 0]","[0.5440000000000003, 3.4559999999999995]",4
"[2, 0, 0, 2, 0, 0]","[0.5760000000000003, 3.4239999999999995]",4
"[2, 0, 0, 0, 2, 0]","[0.6080000000000003, 3.3919999999999995]",4
"[2, 0, 0, 0, 0, 2]","[0.6400000000000003, 3.3599999999999994]",4
"[1, 1, 1, 1, 0, 0]","[0.6720000000000004, 3.3279999999999994]",4
"[1, 1, 1, 0, 1, 0]","[0.7040000000000004, 3.2959999999999994]",4
"[1, 1, 1, 0, 0, 1]","[0.7360000000000004, 3.2639999999999993]",4
"[1, 1, 0, 1, 1, 0]","[0.7680000000000005, 3.2319999999999993]",4
"[1, 1, 0, 1, 0, 1]","[0.8000000000000005, 3.1999999999999993]",4
"[1, 1, 0, 0, 1, 1]","[0.8320000000000005, 3.1679999999999993]",4
"[1, 0, 1, 1, 1, 0]","[0.8640000000000005, 3.1359999999999992]",4
"[1, 0, 1, 1, 0, 1]","[0.8960000000000006, 3.103999999999999]",4
"[1, 0, 1, 0, 1, 1]","[0.9280000000000006, 3.071999999999999]",4
"[1, 0, 0, 1, 1, 1]","[0.9600000000000006, 3.039999999999999]",4
"[1, 2, 1, 0, 0, 0]","[0.9920000000000007, 3.007999999999999]",4
"[1, 2, 0, 1, 0, 0]","[1.0240000000000007, 2.975999999999999]",4
"[1, 2, 0, 0, 1, 0]","[1.0560000000000007, 2.943999999999999]",4
"[1, 2, 0, 0, 0, 1]","[1.0880000000000007, 2.911999999999999]",4
"[1, 1, 2, 0, 0, 0]","[1.1200000000000008, 2.879999999999999]",4
"[1, 1, 0, 2, 0, 0]","[1.1520000000000008, 2.847999999999999]",4
"[1, 1, 0, 0, 2, 0]","[1.1840000000000008, 2.815999999999999]",4
"[1, 1, 0, 0, 0, 2]","[1.2160000000000009, 2.783999999999999]",4
"[1, 0, 2, 1, 0, 0]","[1.2480000000000009, 2.751999999999999]",4
"[1, 0, 2, 0, 1, 0]","[1.280000000000001, 2.719999999999999]",4
"[1, 0, 2, 0, 0, 1]","[1.312000000000001, 2.687999999999999]",4
"[1, 0, 1, 2, 0, 0]","[1.344000000000001, 2.655999999999999]",4
